Athlete,Closing Ceremony Date,Country,Sport,Year,Age,Bronze Medals,Gold Medals,Silver Medals,Total Medals
Jesper Bank,01-10-2000,Denmark,Sailing,2000,43,0,1,0,1
Mark Reynolds,01-10-2000,United States,Sailing,2000,44,0,1,0,1
Magnus Liljedahl,01-10-2000,United States,Sailing,2000,46,0,1,0,1
Sarah Hughes,24-02-2002,United States,Figure Skating,2002,16,0,1,0,1
Ju Min-Jin,24-02-2002,South Korea,Short-Track Speed Skating,2002,18,0,1,0,1
Park Hye-Won,24-02-2002,South Korea,Short-Track Speed Skating,2002,18,0,1,0,1
Stephan Hocke,24-02-2002,Germany,Ski Jumping,2002,18,0,1,0,1
Kelly Clark,24-02-2002,United States,Snowboarding,2002,18,0,1,0,1
Choi Min-Kyung,24-02-2002,South Korea,Short-Track Speed Skating,2002,19,0,1,0,1
Cherie Piper,24-02-2002,Canada,Ice Hockey,2002,20,0,1,0,1
Aleksey Yagudin,24-02-2002,Russia,Figure Skating,2002,21,0,1,0,1
Simon Gagné,24-02-2002,Canada,Ice Hockey,2002,21,0,1,0,1
François-Louis Tremblay,24-02-2002,Canada,Short-Track Speed Skating,2002,21,0,1,0,1
Tristan Gale,24-02-2002,United States,Skeleton,2002,21,0,1,0,1
Caroline Ouellette,24-02-2002,Canada,Ice Hockey,2002,22,0,1,0,1
Colleen Sostorics,24-02-2002,Canada,Ice Hockey,2002,22,0,1,0,1
Eric Brewer,24-02-2002,Canada,Ice Hockey,2002,22,0,1,0,1
Jennifer Botterill,24-02-2002,Canada,Ice Hockey,2002,22,0,1,0,1
Alexander Resch,24-02-2002,Germany,Luge,2002,22,0,1,0,1
Philipp Schoch,24-02-2002,Switzerland,Snowboarding,2002,22,0,1,0,1
Kevin Kuske,24-02-2002,Germany,Bobsleigh,2002,23,0,1,0,1
Hayley Wickenheiser,24-02-2002,Canada,Ice Hockey,2002,23,0,1,0,1
Isabelle Chartrand,24-02-2002,Canada,Ice Hockey,2002,23,0,1,0,1
Kim St-Pierre,24-02-2002,Canada,Ice Hockey,2002,23,0,1,0,1
Hannu Manninen,24-02-2002,Finland,Nordic Combined,2002,23,0,1,0,1
Michael Uhrmann,24-02-2002,Germany,Ski Jumping,2002,23,0,1,0,1
Ross Powers,24-02-2002,United States,Snowboarding,2002,23,0,1,0,1
Jean-Pierre Vidal,24-02-2002,France,Alpine Skiing,2002,24,0,1,0,1
Enrico Kühn,24-02-2002,Germany,Bobsleigh,2002,24,0,1,0,1
Claudia Künzel-Nystad,24-02-2002,Germany,Cross Country Skiing,2002,24,0,1,0,1
Mikhail Ivanov,24-02-2002,Russia,Cross Country Skiing,2002,24,0,1,0,1
Jamie Salé,24-02-2002,Canada,Figure Skating,2002,24,0,1,0,1
Yelena Berezhnaya,24-02-2002,Russia,Figure Skating,2002,24,0,1,0,1
Dana Antal,24-02-2002,Canada,Ice Hockey,2002,24,0,1,0,1
Jarome Iginla,24-02-2002,Canada,Ice Hockey,2002,24,0,1,0,1
Jayna Hefford,24-02-2002,Canada,Ice Hockey,2002,24,0,1,0,1
Kelly Béchard,24-02-2002,Canada,Ice Hockey,2002,24,0,1,0,1
Tammy Lee Shewchuk,24-02-2002,Canada,Ice Hockey,2002,24,0,1,0,1
Patric Leitner,24-02-2002,Germany,Luge,2002,24,0,1,0,1
Martin Schmitt,24-02-2002,Germany,Ski Jumping,2002,24,0,1,0,1
Jill Bakken,24-02-2002,United States,Bobsleigh,2002,25,0,1,0,1
Anton Sikharulidze,24-02-2002,Russia,Figure Skating,2002,25,0,1,0,1
Cheryl Pounder,24-02-2002,Canada,Ice Hockey,2002,25,0,1,0,1
Ed Jovanovski,24-02-2002,Canada,Ice Hockey,2002,25,0,1,0,1
Ryan Smyth,24-02-2002,Canada,Ice Hockey,2002,25,0,1,0,1
Sami Jo Small,24-02-2002,Canada,Ice Hockey,2002,25,0,1,0,1
Éric Bédard,24-02-2002,Canada,Short-Track Speed Skating,2002,25,0,1,0,1
Anni Friesinger-Postma,24-02-2002,Germany,Speed Skating,2002,25,0,1,0,1
Daniela Ceccarelli,24-02-2002,Italy,Alpine Skiing,2002,26,0,1,0,1
Marina Anissina,24-02-2002,France,Figure Skating,2002,26,0,1,0,1
Isabelle Blanc,24-02-2002,France,Snowboarding,2002,26,0,1,0,1
Chris Witty,24-02-2002,United States,Speed Skating,2002,26,0,1,0,1
Christian Hoffmann,24-02-2002,Austria,Cross Country Skiing,2002,27,0,1,0,1
Beckie Scott,24-02-2002,Canada,Cross Country Skiing,2002,27,0,1,0,1
Manuela Henkel,24-02-2002,Germany,Cross Country Skiing,2002,27,0,1,0,1
Fiona MacDonald,24-02-2002,Great Britain,Curling,2002,27,0,1,0,1
Torger Nergård,24-02-2002,Norway,Curling,2002,27,0,1,0,1
David Pelletier,24-02-2002,Canada,Figure Skating,2002,27,0,1,0,1
Alisa Camplin,24-02-2002,Australia,Freestyle Skiing,2002,27,0,1,0,1
Janne Lahtela,24-02-2002,Finland,Freestyle Skiing,2002,27,0,1,0,1
Becky Kellar,24-02-2002,Canada,Ice Hockey,2002,27,0,1,0,1
Chris Pronger,24-02-2002,Canada,Ice Hockey,2002,27,0,1,0,1
Mike Peca,24-02-2002,Canada,Ice Hockey,2002,27,0,1,0,1
Paul Kariya,24-02-2002,Canada,Ice Hockey,2002,27,0,1,0,1
Casey FitzRandolph,24-02-2002,United States,Speed Skating,2002,27,0,1,0,1
Carole Montillet-Carles,24-02-2002,France,Alpine Skiing,2002,28,0,1,0,1
Katrin Apel,24-02-2002,Germany,Biathlon,2002,28,0,1,0,1
Egil Gjelland,24-02-2002,Norway,Biathlon,2002,28,0,1,0,1
Frode Andresen,24-02-2002,Norway,Biathlon,2002,28,0,1,0,1
André Lange,24-02-2002,Germany,Bobsleigh,2002,28,0,1,0,1
Vonetta Flowers,24-02-2002,United States,Bobsleigh,2002,28,0,1,0,1
Tor-Arne Hetland,24-02-2002,Norway,Cross Country Skiing,2002,28,0,1,0,1
Kari Traa,24-02-2002,Norway,Freestyle Skiing,2002,28,0,1,0,1
Cassie Campbell,24-02-2002,Canada,Ice Hockey,2002,28,0,1,0,1
Eric Lindros,24-02-2002,Canada,Ice Hockey,2002,28,0,1,0,1
Scott Niedermayer,24-02-2002,Canada,Ice Hockey,2002,28,0,1,0,1
Armin Zöggeler,24-02-2002,Italy,Luge,2002,28,0,1,0,1
Steven Bradbury,24-02-2002,Australia,Short-Track Speed Skating,2002,28,0,1,0,1
Fritz Strobl,24-02-2002,Austria,Alpine Skiing,2002,29,0,1,0,1
Anders Aukland,24-02-2002,Norway,Cross Country Skiing,2002,29,0,1,0,1
Gwendal Peizerat,24-02-2002,France,Figure Skating,2002,29,0,1,0,1
Aleš Valenta,24-02-2002,Czech Republic,Freestyle Skiing,2002,29,0,1,0,1
Lori Dupuis,24-02-2002,Canada,Ice Hockey,2002,29,0,1,0,1
Martin Brodeur,24-02-2002,Canada,Ice Hockey,2002,29,0,1,0,1
Owen Nolan,24-02-2002,Canada,Ice Hockey,2002,29,0,1,0,1
Janice Rankin,24-02-2002,Great Britain,Curling,2002,30,0,1,0,1
Adam Foote,24-02-2002,Canada,Ice Hockey,2002,30,0,1,0,1
Jari Mantila,24-02-2002,Finland,Nordic Combined,2002,30,0,1,0,1
Gerard van Velde,24-02-2002,Netherlands,Speed Skating,2002,30,0,1,0,1
Vicky Sunohara,24-02-2002,Canada,Ice Hockey,2002,31,0,1,0,1
Catriona Le May Doan,24-02-2002,Canada,Speed Skating,2002,31,0,1,0,1
Halvard Hanevold,24-02-2002,Norway,Biathlon,2002,32,0,1,0,1
Gabriella Paruzzi,24-02-2002,Italy,Cross Country Skiing,2002,32,0,1,0,1
Joe Sakic,24-02-2002,Canada,Ice Hockey,2002,32,0,1,0,1
Rob Blake,24-02-2002,Canada,Ice Hockey,2002,32,0,1,0,1
Sylke Otto,24-02-2002,Germany,Luge,2002,32,0,1,0,1
Carsten Embach,24-02-2002,Germany,Bobsleigh,2002,33,0,1,0,1
Debbie Knox,24-02-2002,Great Britain,Curling,2002,33,0,1,0,1
Brendan Shanahan,24-02-2002,Canada,Ice Hockey,2002,33,0,1,0,1
Theo Fleury,24-02-2002,Canada,Ice Hockey,2002,33,0,1,0,1
Jim Shea Jr.,24-02-2002,United States,Skeleton,2002,33,0,1,0,1
Margaret Morton,24-02-2002,Great Britain,Curling,2002,34,0,1,0,1
Bent Ånund Ramsfjell,24-02-2002,Norway,Curling,2002,34,0,1,0,1
Lars Vågberg,24-02-2002,Norway,Curling,2002,34,0,1,0,1
Curtis Joseph,24-02-2002,Canada,Ice Hockey,2002,34,0,1,0,1
Geraldine Heaney,24-02-2002,Canada,Ice Hockey,2002,34,0,1,0,1
Rhona Martin,24-02-2002,Great Britain,Curling,2002,35,0,1,0,1
Joe Nieuwendyk,24-02-2002,Canada,Ice Hockey,2002,35,0,1,0,1
Thérèse Brisson,24-02-2002,Canada,Ice Hockey,2002,35,0,1,0,1
Danielle Goyette,24-02-2002,Canada,Ice Hockey,2002,36,0,1,0,1
Mario Lemieux,24-02-2002,Canada,Ice Hockey,2002,36,0,1,0,1
Steve Yzerman,24-02-2002,Canada,Ice Hockey,2002,36,0,1,0,1
Markus Zimmermann,24-02-2002,Germany,Bobsleigh,2002,37,0,1,0,1
Flemming Davanger,24-02-2002,Norway,Curling,2002,38,0,1,0,1
Al MacInnis,24-02-2002,Canada,Ice Hockey,2002,38,0,1,0,1
Christoph Langen,24-02-2002,Germany,Bobsleigh,2002,39,0,1,0,1
Pål Trulsen,24-02-2002,Norway,Curling,2002,39,0,1,0,1
Olga Glatskikh,29-08-2004,Russia,Rhythmic Gymnastics,2004,15,0,1,0,1
Émilie Le Pennec,29-08-2004,France,Gymnastics,2004,16,0,1,0,1
Dana Vollmer,29-08-2004,United States,Swimming,2004,16,0,1,0,1
Li Ting,29-08-2004,China,Diving,2004,17,0,1,0,1
Ilias Iliadis,29-08-2004,Greece,Judo,2004,17,0,1,0,1
Jess Schipper,29-08-2004,Australia,Swimming,2004,17,0,1,0,1
Rhi Jeffrey,29-08-2004,United States,Swimming,2004,17,0,1,0,1
Oana Ban,29-08-2004,Romania,Gymnastics,2004,18,0,1,0,1
Tatyana Kurbakova,29-08-2004,Russia,Rhythmic Gymnastics,2004,18,0,1,0,1
Yelena Posevina,29-08-2004,Russia,Rhythmic Gymnastics,2004,18,0,1,0,1
Im Dong-Hyeon,29-08-2004,South Korea,Archery,2004,19,0,1,0,1
Sanya Richards-Ross,29-08-2004,United States,Athletics,2004,19,0,1,0,1
Frank Montieth,29-08-2004,Cuba,Baseball,2004,19,0,1,0,1
Mikhail Ignatyev,29-08-2004,Russia,Cycling,2004,19,0,1,0,1
Mariel Zagunis,29-08-2004,United States,Fencing,2004,19,0,1,0,1
Heather O'Reilly,29-08-2004,United States,Football,2004,19,0,1,0,1
Teng Haibin,29-08-2004,China,Gymnastics,2004,19,0,1,0,1
Silvia Stroescu,29-08-2004,Romania,Gymnastics,2004,19,0,1,0,1
Mark Knowles,29-08-2004,Australia,Hockey,2004,19,0,1,0,1
Zhu Qinan,29-08-2004,China,Shooting,2004,19,0,1,0,1
Olena Kostevych,29-08-2004,Ukraine,Shooting,2004,19,0,1,0,1
Darian Townsend,29-08-2004,South Africa,Swimming,2004,19,0,1,0,1
Elena Gigli,29-08-2004,Italy,Waterpolo,2004,19,0,1,0,1
Taner Sagir,29-08-2004,Turkey,Weightlifting,2004,19,0,1,0,1
Xing Huina,29-08-2004,China,Athletics,2004,20,0,1,0,1
Meseret Defar,29-08-2004,Ethiopia,Athletics,2004,20,0,1,0,1
Sherone Simpson,29-08-2004,Jamaica,Athletics,2004,20,0,1,0,1
Yulieski Gourriel,29-08-2004,Cuba,Baseball,2004,20,0,1,0,1
Aleksey Tishchenko,29-08-2004,Russia,Boxing,2004,20,0,1,0,1
André Ward,29-08-2004,United States,Boxing,2004,20,0,1,0,1
Yang Wenjun,29-08-2004,China,Canoeing,2004,20,0,1,0,1
Carlos Tévez,29-08-2004,Argentina,Football,2004,20,0,1,0,1
Javier Mascherano,29-08-2004,Argentina,Football,2004,20,0,1,0,1
Lindsay Tarpley,29-08-2004,United States,Football,2004,20,0,1,0,1
Nataliya Lavrova,29-08-2004,Russia,Rhythmic Gymnastics,2004,20,0,1,0,1
Olesya Belugina,29-08-2004,Russia,Rhythmic Gymnastics,2004,20,0,1,0,1
Yelena Murzina,29-08-2004,Russia,Rhythmic Gymnastics,2004,20,0,1,0,1
Ioana Papuc-Rotaru,29-08-2004,Romania,Rowing,2004,20,0,1,0,1
Luo Xuejuan,29-08-2004,China,Swimming,2004,20,0,1,0,1
Lyndon Ferns,29-08-2004,South Africa,Swimming,2004,20,0,1,0,1
Carly Piper,29-08-2004,United States,Swimming,2004,20,0,1,0,1
Peter Vanderkaay,29-08-2004,United States,Swimming,2004,20,0,1,0,1
Mariya Gromova,29-08-2004,Russia,Synchronized Swimming,2004,20,0,1,0,1
Chen Qi,29-08-2004,China,Table Tennis,2004,20,0,1,0,1
Nurcan Taylan,29-08-2004,Turkey,Weightlifting,2004,20,0,1,0,1
Marco Galiazzo,29-08-2004,Italy,Archery,2004,21,0,1,0,1
Yun Mi-Jin,29-08-2004,South Korea,Archery,2004,21,0,1,0,1
Liu Xiang,29-08-2004,China,Athletics,2004,21,0,1,0,1
Mark Lewis-Francis,29-08-2004,Great Britain,Athletics,2004,21,0,1,0,1
Carolina Klüft,29-08-2004,Sweden,Athletics,2004,21,0,1,0,1
Darold Williamson,29-08-2004,United States,Athletics,2004,21,0,1,0,1
DeeDee Trotter,29-08-2004,United States,Athletics,2004,21,0,1,0,1
Kelly Willie,29-08-2004,United States,Athletics,2004,21,0,1,0,1
Monique Henderson,29-08-2004,United States,Athletics,2004,21,0,1,0,1
Luis Borroto,29-08-2004,Cuba,Baseball,2004,21,0,1,0,1
Carlos Delfino,29-08-2004,Argentina,Basketball,2004,21,0,1,0,1
Bakhtiyar Artayev,29-08-2004,Kazakhstan,Boxing,2004,21,0,1,0,1
Tomasz Wylenzek,29-08-2004,Germany,Canoeing,2004,21,0,1,0,1
Hu Jia,29-08-2004,China,Diving,2004,21,0,1,0,1
Yang Jinghui,29-08-2004,China,Diving,2004,21,0,1,0,1
Daisuke Nakano,29-08-2004,Japan,Gymnastics,2004,21,0,1,0,1
Drago Vukovic,29-08-2004,Croatia,Handball,2004,21,0,1,0,1
Alina Kabayeva,29-08-2004,Russia,Rhythmic Gymnastics,2004,21,0,1,0,1
Rodica Florea-Serban,29-08-2004,Romania,Rowing,2004,21,0,1,0,1
Siren Sundby,29-08-2004,Norway,Sailing,2004,21,0,1,0,1
Cat Osterman,29-08-2004,United States,Softball,2004,21,0,1,0,1
Giaan Rooney,29-08-2004,Australia,Swimming,2004,21,0,1,0,1
Chen Zhong,29-08-2004,China,Taekwondo,2004,21,0,1,0,1
Luo Wei,29-08-2004,China,Taekwondo,2004,21,0,1,0,1
Liu Chunhong,29-08-2004,China,Weightlifting,2004,21,0,1,0,1
Athanasia Tsoumeleka,29-08-2004,Greece,Athletics,2004,22,0,1,0,1
Ezekiel Kemboi,29-08-2004,Kenya,Athletics,2004,22,0,1,0,1
Andreas Thorkildsen,29-08-2004,Norway,Athletics,2004,22,0,1,0,1
Yelena Isinbayeva,29-08-2004,Russia,Athletics,2004,22,0,1,0,1
Yelena Slesarenko,29-08-2004,Russia,Athletics,2004,22,0,1,0,1
Andrew Rock,29-08-2004,United States,Athletics,2004,22,0,1,0,1
Alexei Ramírez,29-08-2004,Cuba,Baseball,2004,22,0,1,0,1
Diana Taurasi,29-08-2004,United States,Basketball,2004,22,0,1,0,1
Yuriorkis Gamboa,29-08-2004,Cuba,Boxing,2004,22,0,1,0,1
Ronald Rauhe,29-08-2004,Germany,Canoeing,2004,22,0,1,0,1
Peter Dawson,29-08-2004,Australia,Cycling,2004,22,0,1,0,1
Anna Sivkova,29-08-2004,Russia,Fencing,2004,22,0,1,0,1
César Delgado,29-08-2004,Argentina,Football,2004,22,0,1,0,1
Fabricio Coloccini,29-08-2004,Argentina,Football,2004,22,0,1,0,1
Germán Lux,29-08-2004,Argentina,Football,2004,22,0,1,0,1
Javier Saviola,29-08-2004,Argentina,Football,2004,22,0,1,0,1
Nicolás Medina,29-08-2004,Argentina,Football,2004,22,0,1,0,1
Cat Reddick,29-08-2004,United States,Football,2004,22,0,1,0,1
Kyle Shewfelt,29-08-2004,Canada,Gymnastics,2004,22,0,1,0,1
Louise Bager Nørgaard,29-08-2004,Denmark,Handball,2004,22,0,1,0,1
Liam De Young,29-08-2004,Australia,Hockey,2004,22,0,1,0,1
Mandy Haase,29-08-2004,Germany,Hockey,2004,22,0,1,0,1
Maki Tsukada,29-08-2004,Japan,Judo,2004,22,0,1,0,1
Du Li,29-08-2004,China,Shooting,2004,22,0,1,0,1
Natasha Watley,29-08-2004,United States,Softball,2004,22,0,1,0,1
Ai Shibata,29-08-2004,Japan,Swimming,2004,22,0,1,0,1
Camelia Potec,29-08-2004,Romania,Swimming,2004,22,0,1,0,1
Dan Ketchum,29-08-2004,United States,Swimming,2004,22,0,1,0,1
Mark Gangloff,29-08-2004,United States,Swimming,2004,22,0,1,0,1
Anna Shorina,29-08-2004,Russia,Synchronized Swimming,2004,22,0,1,0,1
Yu Seung-Min,29-08-2004,South Korea,Table Tennis,2004,22,0,1,0,1
Chu Mu-Yen,29-08-2004,Chinese Taipei,Taekwondo,2004,22,0,1,0,1
Justine Henin-Hardenne,29-08-2004,Belgium,Tennis,2004,22,0,1,0,1
Sun Tiantian,29-08-2004,China,Tennis,2004,22,0,1,0,1
Zhang Ping,29-08-2004,China,Volleyball,2004,22,0,1,0,1
Zhao Ruirui,29-08-2004,China,Volleyball,2004,22,0,1,0,1
Udomporn Polsak,29-08-2004,Thailand,Weightlifting,2004,22,0,1,0,1
Aleen Bailey,29-08-2004,Jamaica,Athletics,2004,23,0,1,0,1
Yury Borzakovsky,29-08-2004,Russia,Athletics,2004,23,0,1,0,1
Moushaumi Robinson,29-08-2004,United States,Athletics,2004,23,0,1,0,1
Zhang Jiewen,29-08-2004,China,Badminton,2004,23,0,1,0,1
Taufik Hidayat,29-08-2004,Indonesia,Badminton,2004,23,0,1,0,1
Danny Betancourt,29-08-2004,Cuba,Baseball,2004,23,0,1,0,1
Yoandri Urgellés,29-08-2004,Cuba,Baseball,2004,23,0,1,0,1
Sue Bird,29-08-2004,United States,Basketball,2004,23,0,1,0,1
Guillermo Rigondeaux,29-08-2004,Cuba,Boxing,2004,23,0,1,0,1
Sara Carrigan,29-08-2004,Australia,Cycling,2004,23,0,1,0,1
Peng Bo,29-08-2004,China,Diving,2004,23,0,1,0,1
Brice Guyart,29-08-2004,France,Fencing,2004,23,0,1,0,1
Fabrice Jeannet,29-08-2004,France,Fencing,2004,23,0,1,0,1
Andrés D'Alessandro,29-08-2004,Argentina,Football,2004,23,0,1,0,1
Clemente Rodríguez,29-08-2004,Argentina,Football,2004,23,0,1,0,1
Luis González,29-08-2004,Argentina,Football,2004,23,0,1,0,1
Mariano González,29-08-2004,Argentina,Football,2004,23,0,1,0,1
Mauro Rosales,29-08-2004,Argentina,Football,2004,23,0,1,0,1
Nicolás Burdisso,29-08-2004,Argentina,Football,2004,23,0,1,0,1
Gervasio Deferr,29-08-2004,Spain,Gymnastics,2004,23,0,1,0,1
Blaženko Lackovic,29-08-2004,Croatia,Handball,2004,23,0,1,0,1
Igor Vori,29-08-2004,Croatia,Handball,2004,23,0,1,0,1
Henriette Mikkelsen,29-08-2004,Denmark,Handball,2004,23,0,1,0,1
Rikke Skov,29-08-2004,Denmark,Handball,2004,23,0,1,0,1
Trine Jensen,29-08-2004,Denmark,Handball,2004,23,0,1,0,1
Nathan Eglington,29-08-2004,Australia,Hockey,2004,23,0,1,0,1
Rob Hammond,29-08-2004,Australia,Hockey,2004,23,0,1,0,1
Anke Kühn,29-08-2004,Germany,Hockey,2004,23,0,1,0,1
Zurab Zviadauri,29-08-2004,Georgia,Judo,2004,23,0,1,0,1
Yvonne Bönisch,29-08-2004,Germany,Judo,2004,23,0,1,0,1
Ayumi Tanimoto,29-08-2004,Japan,Judo,2004,23,0,1,0,1
Lee Won-Hui,29-08-2004,South Korea,Judo,2004,23,0,1,0,1
Beau Hoopman,29-08-2004,United States,Rowing,2004,23,0,1,0,1
Matt Emmons,29-08-2004,United States,Shooting,2004,23,0,1,0,1
Jennie Finch,29-08-2004,United States,Softball,2004,23,0,1,0,1
Jessica Mendoza,29-08-2004,United States,Softball,2004,23,0,1,0,1
Tairia Flowers,29-08-2004,United States,Softball,2004,23,0,1,0,1
Elvira Khasyanova,29-08-2004,Russia,Synchronized Swimming,2004,23,0,1,0,1
Dante,29-08-2004,Brazil,Volleyball,2004,23,0,1,0,1
Liu Yanan,29-08-2004,China,Volleyball,2004,23,0,1,0,1
Nataliya Skakun,29-08-2004,Ukraine,Weightlifting,2004,23,0,1,0,1
Osleidys Menéndez,29-08-2004,Cuba,Athletics,2004,24,0,1,0,1
Christian Olsson,29-08-2004,Sweden,Athletics,2004,24,0,1,0,1
Frederich Cepeda,29-08-2004,Cuba,Baseball,2004,24,0,1,0,1
Norberto González,29-08-2004,Cuba,Baseball,2004,24,0,1,0,1
Vicyohandri Odelín,29-08-2004,Cuba,Baseball,2004,24,0,1,0,1
Andrés Nocioni,29-08-2004,Argentina,Basketball,2004,24,0,1,0,1
Luis Scola,29-08-2004,Argentina,Basketball,2004,24,0,1,0,1
Ruth Riley,29-08-2004,United States,Basketball,2004,24,0,1,0,1
Swin Cash,29-08-2004,United States,Basketball,2004,24,0,1,0,1
Odlanier Solís,29-08-2004,Cuba,Boxing,2004,24,0,1,0,1
Yan Barthelemí,29-08-2004,Cuba,Boxing,2004,24,0,1,0,1
Aleksandr Povetkin,29-08-2004,Russia,Boxing,2004,24,0,1,0,1
Manus Boonjumnong,29-08-2004,Thailand,Boxing,2004,24,0,1,0,1
Benoît Peschier,29-08-2004,France,Canoeing,2004,24,0,1,0,1
Pavol Hochschorner,29-08-2004,Slovakia,Canoeing,2004,24,0,1,0,1
Peter Hochschorner,29-08-2004,Slovakia,Canoeing,2004,24,0,1,0,1
Brett Lancaster,29-08-2004,Australia,Cycling,2004,24,0,1,0,1
Julien Absalon,29-08-2004,France,Cycling,2004,24,0,1,0,1
Nicolas Touzaint,29-08-2004,France,Equestrian,2004,24,0,1,0,1
Éric Boisse,29-08-2004,France,Fencing,2004,24,0,1,0,1
Tatyana Logunova,29-08-2004,Russia,Fencing,2004,24,0,1,0,1
Abby Wambach,29-08-2004,United States,Football,2004,24,0,1,0,1
Aly Wagner,29-08-2004,United States,Football,2004,24,0,1,0,1
Hisashi Mizutori,29-08-2004,Japan,Gymnastics,2004,24,0,1,0,1
Denis Špoljaric,29-08-2004,Croatia,Handball,2004,24,0,1,0,1
Vedran Zrnic,29-08-2004,Croatia,Handball,2004,24,0,1,0,1
Josephine Touray,29-08-2004,Denmark,Handball,2004,24,0,1,0,1
Grant Schubert,29-08-2004,Australia,Hockey,2004,24,0,1,0,1
Travis Brooks,29-08-2004,Australia,Hockey,2004,24,0,1,0,1
Fanny Rinne,29-08-2004,Germany,Hockey,2004,24,0,1,0,1
Sonja Lehmann,29-08-2004,Germany,Hockey,2004,24,0,1,0,1
Keiji Suzuki,29-08-2004,Japan,Judo,2004,24,0,1,0,1
Thor Kristensen,29-08-2004,Denmark,Rowing,2004,24,0,1,0,1
Sergey Fedorovtsev,29-08-2004,Russia,Rowing,2004,24,0,1,0,1
Matt Deakin,29-08-2004,United States,Rowing,2004,24,0,1,0,1
Sarah Ayton,29-08-2004,Great Britain,Sailing,2004,24,0,1,0,1
Amanda Freed,29-08-2004,United States,Softball,2004,24,0,1,0,1
Jenny Topping,29-08-2004,United States,Softball,2004,24,0,1,0,1
Kelly Kretschman,29-08-2004,United States,Softball,2004,24,0,1,0,1
Lovie Jung,29-08-2004,United States,Softball,2004,24,0,1,0,1
Ma Lin,29-08-2004,China,Table Tennis,2004,24,0,1,0,1
Jang Ji-Won,29-08-2004,South Korea,Taekwondo,2004,24,0,1,0,1
Li Ting,29-08-2004,China,Tennis,2004,24,0,1,0,1
Li Shan,29-08-2004,China,Volleyball,2004,24,0,1,0,1
Song Nina,29-08-2004,China,Volleyball,2004,24,0,1,0,1
Yang Hao,29-08-2004,China,Volleyball,2004,24,0,1,0,1
Zhang Na,29-08-2004,China,Volleyball,2004,24,0,1,0,1
Norbert Madaras,29-08-2004,Hungary,Waterpolo,2004,24,0,1,0,1
Ádám Steinmetz,29-08-2004,Hungary,Waterpolo,2004,24,0,1,0,1
Milen Dobrev,29-08-2004,Bulgaria,Weightlifting,2004,24,0,1,0,1
Shi Zhiyong,29-08-2004,China,Weightlifting,2004,24,0,1,0,1
Dmitry Berestov,29-08-2004,Russia,Weightlifting,2004,24,0,1,0,1
Yuliya Nesterenko,29-08-2004,Belarus,Athletics,2004,25,0,1,0,1
Fani Khalkia,29-08-2004,Greece,Athletics,2004,25,0,1,0,1
Crystal Cox,29-08-2004,United States,Athletics,2004,25,0,1,0,1
Yang Wei,29-08-2004,China,Badminton,2004,25,0,1,0,1
Danny Miranda,29-08-2004,Cuba,Baseball,2004,25,0,1,0,1
Michel Enríquez,29-08-2004,Cuba,Baseball,2004,25,0,1,0,1
Yorelvis Charles,29-08-2004,Cuba,Baseball,2004,25,0,1,0,1
Walter Herrmann,29-08-2004,Argentina,Basketball,2004,25,0,1,0,1
Tamika Catchings,29-08-2004,United States,Basketball,2004,25,0,1,0,1
Kerri Walsh,29-08-2004,United States,Beach Volleyball,2004,25,0,1,0,1
Tim Wieskötter,29-08-2004,Germany,Canoeing,2004,25,0,1,0,1
Simone Vanni,29-08-2004,Italy,Fencing,2004,25,0,1,0,1
Goran Šprem,29-08-2004,Croatia,Handball,2004,25,0,1,0,1
Ivano Balic,29-08-2004,Croatia,Handball,2004,25,0,1,0,1
Jamie Dwyer,29-08-2004,Australia,Hockey,2004,25,0,1,0,1
Louisa Walter,29-08-2004,Germany,Hockey,2004,25,0,1,0,1
Silke Müller,29-08-2004,Germany,Hockey,2004,25,0,1,0,1
Igor Makarov,29-08-2004,Belarus,Judo,2004,25,0,1,0,1
Masae Ueno,29-08-2004,Japan,Judo,2004,25,0,1,0,1
Andrey Moiseyev,29-08-2004,Russia,Modern Pentathlon,2004,25,0,1,0,1
Stephan Mølvig,29-08-2004,Denmark,Rowing,2004,25,0,1,0,1
Caroline Evers-Swindell,29-08-2004,New Zealand,Rowing,2004,25,0,1,0,1
Georgina Evers-Swindell,29-08-2004,New Zealand,Rowing,2004,25,0,1,0,1
Aleksey Svirin,29-08-2004,Russia,Rowing,2004,25,0,1,0,1
Joey Hansen,29-08-2004,United States,Rowing,2004,25,0,1,0,1
Wyatt Allen,29-08-2004,United States,Rowing,2004,25,0,1,0,1
Kim Rhode,29-08-2004,United States,Shooting,2004,25,0,1,0,1
Scott Goldblatt,29-08-2004,United States,Swimming,2004,25,0,1,0,1
Olga Brusnikina,29-08-2004,Russia,Synchronized Swimming,2004,25,0,1,0,1
Wang Nan,29-08-2004,China,Table Tennis,2004,25,0,1,0,1
Chen Shih-Hsien,29-08-2004,Chinese Taipei,Taekwondo,2004,25,0,1,0,1
Steven Lopez,29-08-2004,United States,Taekwondo,2004,25,0,1,0,1
André Nascimento,29-08-2004,Brazil,Volleyball,2004,25,0,1,0,1
Rodrigão,29-08-2004,Brazil,Volleyball,2004,25,0,1,0,1
Feng Kun,29-08-2004,China,Volleyball,2004,25,0,1,0,1
Zhou Suhong,29-08-2004,China,Volleyball,2004,25,0,1,0,1
Silvia Bosurgi,29-08-2004,Italy,Waterpolo,2004,25,0,1,0,1
